Handle,Data center,Date,Chip type,Number of Units,Chip type source,Number of Units source,Owner,User,Notes,Created By,Created,Last Modified By,Last Modified
B200 at Meta Prometheus on 2025-10-14T00:00:00.000Z,Meta Prometheus,2025-10-14,B200,27972,Estimate,Estimate,Meta #confident,Meta #confident,"Buildings 4-10 come online. B200 count = (total power at this date minus H-shaped buildings power) / (PUE × IT overhead × GB200 server power) × 72. Includes Meta, QTS, and Vantage buildings.",Epoch AI,2026-04-02T19:46:42.000Z,Epoch AI,2026-05-16 10:34:42+00:00
B200 at  on 2025-10-19T00:00:00.000Z,,2025-10-19,B200,110000,Company disclosure,Company disclosure,SpaceXAI #confident,SpaceXAI #confident,[xAI Memphis announcement](https://x.com/xAIMemphis/status/1947724711968051414),Epoch AI,2026-05-22T01:50:50.000Z,Siyuan Du,2026-05-27 13:45:10+00:00
B200 at  on 2025-10-19T00:00:00.000Z,,2025-10-19,B200,110000,Company disclosure,Company disclosure,SpaceXAI #confident,SpaceXAI #confident,[xAI Memphis announcement](https://x.com/xAIMemphis/status/1947724711968051414),Epoch AI,2026-05-22T01:52:38.000Z,Siyuan Du,2026-05-27 13:45:10+00:00
B200 at Colossus 2 on 2025-10-19T00:00:00.000Z,Colossus 2,2025-10-19,B200,110000,Company disclosure,Company disclosure,SpaceXAI #confident,SpaceXAI #confident,[xAI Memphis announcement](https://x.com/xAIMemphis/status/1947724711968051414),Epoch AI,2026-05-24T17:53:05.000Z,Epoch AI,2026-05-24 17:53:05+00:00
B200 at CoreWeave Ellendale ND on 2025-10-27T00:00:00.000Z,CoreWeave Ellendale ND,2025-10-27,B200,27300,Estimate,Estimate,CoreWeave #likely,CoreWeave #confident,First operational chip-count row. Applied announced the first 50 MW of PF1 Building 1 reached Ready for Service on this date. Chip type is estimated from the GB200 NVL72/B200 reference used in the performance model. Count is derived from the 50 MW performance estimate. Sources: https://ir.applieddigital.com/news-events/press-releases/detail/133/applied-digital-achieves-ready-for-service-for-phase-1-at | https://www.nvidia.com/en-us/data-center/gb200-nvl72/,Epoch AI,2026-05-27T18:14:03.000Z,Epoch AI,2026-05-27 21:39:18+00:00
TPU v7 at Google Lancaster on 2025-10-31T00:00:00.000Z,Google Lancaster,2025-10-31,TPU v7,10228,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 2 (Q4 FY25 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-29T17:12:42.000Z,Epoch AI,2026-05-29 17:12:42+00:00
TPU v6e at Google Lancaster on 2025-10-31T00:00:00.000Z,Google Lancaster,2025-10-31,TPU v6e,77519,Estimate,Estimate,Google #confident,Google DeepMind #likely,"Building 2 (Q4 FY25 mix). Chip type and quantity derived from Timeline power, TPU_Production shares, and Parameters TDP.",Epoch AI,2026-05-29T17:12:42.000Z,Epoch AI,2026-05-29 17:12:42+00:00
Ascend 910C at VNET Bayin Ulanqab on 2025-11-01T00:00:00.000Z,VNET Bayin Ulanqab,2025-11-01,Ascend 910C,121112,Estimate,Estimate,VNET #confident,ByteDance #speculative,,Epoch AI,2026-05-14T15:52:51.000Z,Epoch AI,2026-05-16 10:32:58+00:00
B200 at CoreWeave Ellendale ND on 2025-11-24T00:00:00.000Z,CoreWeave Ellendale ND,2025-11-24,B200,54600,Estimate,Estimate,CoreWeave #likely,CoreWeave #confident,"Second 50 MW phase reached Ready for Service, bringing PF1 Building 1 to 100 MW critical IT load. This row updates the estimated total B200 count for the same chip type. Source: https://ir.applieddigital.com/news-events/press-releases/detail/137/applied-digital-completes-phase-ii-ready-for-service-at",Epoch AI,2026-05-27T18:14:04.000Z,Epoch AI,2026-05-27 18:14:04+00:00
Ascend 910C at VNET Bayin Ulanqab on 2025-12-01T00:00:00.000Z,VNET Bayin Ulanqab,2025-12-01,Ascend 910C,156888,Estimate,Estimate,VNET #confident,ByteDance #speculative,,Epoch AI,2026-05-14T15:52:52.000Z,Epoch AI,2026-05-16 10:32:59+00:00
B300 at Microsoft SAT40 on 2025-12-01T00:00:00.000Z,Microsoft SAT40,2025-12-01,B300,12750,Estimate,Estimate,Microsoft #confident,,Type estimated based on chip sales data. # of units estimated based on power for Building 2.,Epoch AI,2026-05-18T17:53:20.000Z,Epoch AI,2026-05-19 15:12:24+00:00
B300 at Meta Temple on 2025-12-09T00:00:00.000Z,Meta Temple,2025-12-09,B300,68571,Estimate,Estimate,Meta #confident,Meta #confident,"GB300 NVL72 assumed from commissioning timeline (Q3-Q4 2025, when GB300 shipments exceeded GB200). Count = (Building 1 + Building 2 IT capacity) / IT overhead / server power × 72.",Epoch AI,2026-04-02T19:45:38.000Z,Epoch AI,2026-05-16 10:32:56+00:00
Trainium2 at Anthropic-Amazon New Carlisle on 2025-12-23T00:00:00.000Z,Anthropic-Amazon New Carlisle,2025-12-23,Trainium2,718000,Company disclosure,Estimate,Amazon #confident,Anthropic #confident,11 buildings operational. Same per-building model as above.,Epoch AI,2026-04-02T19:44:26.000Z,Epoch AI,2026-05-28 22:34:46+00:00
B200 at CoreWeave Denton TX on 2025-12-31T00:00:00.000Z,CoreWeave Denton TX,2025-12-31,B200,16000,Estimate,Estimate,CoreWeave #confident,OpenAI #likely,"Data Center Dynamics, citing The Information/internal comms, says Denton had more than 16,000 GPUs by the end of Dec 2025. I'm assuming they're Grace Blackwell GPUS based on later information. Use as minimum. (Data Center Dynamics)",Epoch AI,2026-05-14T15:54:00.000Z,Epoch AI,2026-05-16 10:34:07+00:00
B300 at DayOne Nusajaya on 2026-01-22T00:00:00.000Z,DayOne Nusajaya,2026-01-22,B300,97870,Estimate,Estimate,"ByteDance #likely, Oracle #likely",,"B300 based on the timing of total chip sales in the prior quarter (https://epoch.ai/data/ai-chip-sales), plus DayOne's partnership with NVIDIA (they mention using GB200 here: https://dayonedc.com/our-solutions). ByteDance likely: https://asiatimes.com/2026/03/nvidia-chip-curbs-turn-singapore-into-ai-hub-for-china/, https://english.cw.com.tw/article/article.action?id=4385. Oracle likely: https://newsletter.semianalysis.com/p/how-oracle-is-winning-the-ai-compute-market",Epoch AI,2026-05-08T22:23:32.000Z,Epoch AI,2026-05-16 10:30:43+00:00
Ascend 910C at Huawei Horinger on 2026-02-01T00:00:00.000Z,Huawei Horinger,2026-02-01,Ascend 910C,118097,Estimate,Estimate,Huawei #confident,,,Epoch AI,2026-05-28T22:37:03.000Z,Epoch AI,2026-05-31 18:28:33+00:00
B200 at Vantage TX1 on 2026-02-15T00:00:00.000Z,Vantage TX1,2026-02-15,B200,15311,Estimate,Estimate,,,GB200 NVL72 assumed. Building 1 reported IT power of 32 MW (TDLR). Count = IT power / (IT overhead × server power) × 72.,Epoch AI,2026-04-02T19:46:49.000Z,Epoch AI,2026-04-02 19:46:49+00:00
H200 at CoreWeave Dalton GA (1 & 2) on 2026-02-20T00:00:00.000Z,CoreWeave Dalton GA (1 & 2),2026-02-20,H200,39008,Estimate,Estimate,CoreWeave #confident,,"CoreWeave GPU model is not disclosed for Dalton, so this is an estimate. H200 count references the IT power estimate. Data Center dynamics also mentions the datacenter houses Nvidia DGX hardware. Source: https://www.datacenterdynamics.com/en/news/core-scientific-plans-new-ai-data-centers-in-dalton-georgia/",Epoch AI,2026-06-11T20:53:36.000Z,Epoch AI,2026-06-12 16:12:44+00:00
B300 at Meta Sarpy County on 2026-02-22T00:00:00.000Z,Meta Sarpy County,2026-02-22,B300,36300,Estimate,Estimate,Meta #confident,Meta #confident,GB300 NVL72 assumed from commissioning timeline and estimates from https://epoch.ai/data/ai-chip-owners . Count = Total IT power / IT overhead / server power x 72.,Epoch AI,2026-06-10T18:58:55.000Z,Epoch AI,2026-06-10 19:54:27+00:00
B200 at Meta Prometheus on 2026-02-27T00:00:00.000Z,Meta Prometheus,2026-02-27,B200,150279,Estimate,Estimate,Meta #confident,Meta #confident,"Adds Building 16 (Vantage). Same model, updated total power.",Epoch AI,2026-04-02T19:46:42.000Z,Epoch AI,2026-05-16 10:34:42+00:00
B300 at Meta Los Lunas on 2026-03-01T00:00:00.000Z,Meta Los Lunas,2026-03-01,B300,39453,Estimate,Estimate,Meta #confident,Meta #confident,GB300 NVL72 assumed from commissioning timeline and estimates from https://epoch.ai/data/ai-chip-owners . Count = Total IT power / IT overhead / server power x 72.,Epoch AI,2026-06-16T19:18:15.000Z,Epoch AI,2026-06-16 21:07:59+00:00
B200 at CoreWeave Denton TX on 2026-03-02T00:00:00.000Z,CoreWeave Denton TX,2026-03-02,B200,50000,Company disclosure,Company disclosure,CoreWeave #confident,OpenAI #likely,"Core Scientific's Q4 2025 report said Denton was at roughly 130 billable MW and actively supporting more than 50,000 Grace Blackwell GPUs. Use as minimum. (MarketBeat)",Epoch AI,2026-05-14T15:54:00.000Z,Epoch AI,2026-05-16 10:34:07+00:00
B300 at Meta Jeffersonville on 2026-03-06T00:00:00.000Z,Meta Jeffersonville,2026-03-06,B300,80486,Estimate,Estimate,Meta #confident,Meta #confident,GB300 NVL72 assumed from commissioning timeline and estimates from https://epoch.ai/data/ai-chip-owners. Count = Total IT power / IT overhead / server power x 72.,Epoch AI,2026-05-26T23:31:19.000Z,Epoch AI,2026-06-04 21:40:13+00:00
B200 at CoreWeave Marble NC on 2026-03-13T00:00:00.000Z,CoreWeave Marble NC,2026-03-13,B200,17200,Estimate,Estimate,CoreWeave #confident,,Core Scientific reported 37 MW operational and billing at Marble as of March 2026. Chip type and count are not disclosed for Marble. Estimate assumes GB200 NVL72 racks with 72 Blackwell GPUs per rack and 0.132 MW per rack. (Supplemental Core Scientific Information),Epoch AI,2026-05-08T21:06:19.000Z,Epoch AI,2026-06-05 00:45:56+00:00
Trainium2 at Anthropic-Amazon New Carlisle on 2026-03-23T00:00:00.000Z,Anthropic-Amazon New Carlisle,2026-03-23,Trainium2,1040000,Company disclosure,Estimate,Amazon #confident,Anthropic #confident,"16 buildings operational. Same model. In an [interview](https://www.youtube.com/watch?v=jwgW_gHI1Vs&t=220s), AWS CEO says ""we expect jointly we'll be running more than a million Trainium2 chips [in Indiana] by the end of [2025]"". We think this was delayed by a few months based on our satellite imagery.",Epoch AI,2026-04-02T19:44:26.000Z,Epoch AI,2026-05-28 22:34:46+00:00
B200 at Fluidstack Lake Mariner on 2026-03-31T00:00:00.000Z,Fluidstack Lake Mariner,2026-03-31,B200,28463,Estimate,Estimate,Core42 #confident,G42 #likely,"Chip type could be H200, but given the timing and use of liquid cooling, probably B200. [TeraWulf press release](https://investors.terawulf.com/news-events/press-releases/detail/99/terawulf-to-deliver-over-70-mw-of-data-center)",Epoch AI,2026-03-05T20:57:19.000Z,Epoch AI,2026-05-16 10:32:59+00:00
B300 at Start Campus Sines Data Campus on 2026-03-31T00:00:00.000Z,Start Campus Sines Data Campus,2026-03-31,B300,12600,Company disclosure,Company disclosure,Nscale #confident,Microsoft #confident,First deployment set to go live by Q1 2026 according to [announcement](https://lp.startcampus.pt/start-campus-hosts-eus-first-nvidia-gb300-chips-with-nscale-for-microsoft).,Epoch AI,2026-04-20T21:59:34.000Z,Epoch AI,2026-05-16 10:34:05+00:00
B300 at Microsoft SAT14 on 2026-03-31T00:00:00.000Z,Microsoft SAT14,2026-03-31,B300,12750,Estimate,Estimate,Microsoft #confident,,Type estimated based on chip sales data. # of units estimated based on power for Building 2 and the rest of Building 1 that was completed since initial operation.,Epoch AI,2026-05-18T17:04:14.000Z,Epoch AI,2026-05-19 15:12:19+00:00
B300 at  on 2026-04-06T00:00:00.000Z,,2026-04-06,B300,110000,Company disclosure,Company disclosure,SpaceXAI #confident,SpaceXAI #confident,"[Company S-1 filing, page 76](https://www.sec.gov/Archives/edgar/data/1181412/000162828026036936/spaceexplorationtechnologi.htm)",Epoch AI,2026-05-22T01:50:51.000Z,Siyuan Du,2026-05-27 13:45:10+00:00
B300 at  on 2026-04-06T00:00:00.000Z,,2026-04-06,B300,110000,Company disclosure,Company disclosure,SpaceXAI #confident,SpaceXAI #confident,"[Company S-1 filing, page 76](https://www.sec.gov/Archives/edgar/data/1181412/000162828026036936/spaceexplorationtechnologi.htm)",Epoch AI,2026-05-22T01:52:39.000Z,Siyuan Du,2026-05-27 13:45:10+00:00
B300 at Colossus 2 on 2026-04-06T00:00:00.000Z,Colossus 2,2026-04-06,B300,110000,Company disclosure,Company disclosure,SpaceXAI #confident,SpaceXAI #confident,"[Company S-1 filing, page 76](https://www.sec.gov/Archives/edgar/data/1181412/000162828026036936/spaceexplorationtechnologi.htm)",Epoch AI,2026-05-24T17:53:06.000Z,Epoch AI,2026-05-24 17:53:06+00:00
B200 at Microsoft Fairwater Wisconsin on 2026-04-16T00:00:00.000Z,Microsoft Fairwater Wisconsin,2026-04-16,B200,221184,Company disclosure,Estimate,Microsoft #confident,Microsoft #confident,"GB200 NVL72 confirmed by Microsoft ([blog post](https://blogs.microsoft.com/blog/2025/09/18/inside-the-worlds-most-powerful-ai-datacenter/)). Building 1. Count based on blueprint analysis: 2 stories × 128 rack rows × 12 GPU racks per row × 72 chips. This is also consistent with ""hundreds of thousands of NVIDIA GB200s"" ([Satya Nadella](https://x.com/satyanadella/status/1968677244861379012)).",Epoch AI,2026-04-17T22:18:05.000Z,Ben Cottier,2026-05-19 19:46:37+00:00
B200 at  on 2026-04-16T00:00:00.000Z,,2026-04-16,B200,221184,Company disclosure,Estimate,Microsoft #confident,Microsoft #confident,"GB200 NVL72 confirmed by Microsoft ([blog post](https://blogs.microsoft.com/blog/2025/09/18/inside-the-worlds-most-powerful-ai-datacenter/)). Building 1. Count based on blueprint analysis: 2 stories × 128 rack rows × 12 GPU racks per row × 72 chips. This is also consistent with ""hundreds of thousands of NVIDIA GB200s"" ([Satya Nadella](https://x.com/satyanadella/status/1968677244861379012)).",Epoch AI,2026-05-19T20:42:25.000Z,Ben Cottier,2026-05-20 19:58:52+00:00
B300 at Oracle Batam on 2026-04-17T00:00:00.000Z,Oracle Batam,2026-04-17,B300,17397,Estimate,Estimate,Oracle #likely,,"Estimated from power capacity. DayOne partners with NVIDIA, and these are the best wide-sold chips available at the time. In a [LinkedIn post](https://www.linkedin.com/posts/digitaltransformation-datacenter-ugcPost-7264614420276744194-aQSa/) DayOne said it ""signed a contract with a leading global tech company in Q3 [2024] for 34 MW committed and 38 MW reserved capacity at our Batam campus."" A partnership with Oracle specifically was later [reported](https://www.datacenterdynamics.com/en/news/oracle-establishes-cloud-presence-in-indonesia/), and 38 MW corresponds to the third data center building. We assume Oracle has used their reservation by this point, but this is not confirmed.",Epoch AI,2026-05-06T14:56:02.000Z,Epoch AI,2026-05-16 10:28:25+00:00
H100 at Stream Phoenix on 2026-05-01T00:00:00.000Z,Stream Phoenix,2026-05-01,H100,46112,Estimate,Estimate,,,"This is for building 1; the shell is complete, and it should be operational as of this date.  H100 stub retained but no count available.",Epoch AI,2026-04-08T22:17:52.000Z,Epoch AI,2026-04-08 22:17:52+00:00
B200 at CoreWeave Marble NC on 2026-05-06T00:00:00.000Z,CoreWeave Marble NC,2026-05-06,B200,31100,Estimate,Estimate,CoreWeave #confident,,Core Scientific reported Marble as fully handed over to CoreWeave at about 65 MW of leased customer power. Chip type and count are not disclosed for Marble. Estimate assumes GB200 NVL72 racks with 72 Blackwell GPUs per rack and 0.132 MW per rack. (Core Scientific Fiscal Q1 2026 Earnings Call),Epoch AI,2026-05-08T21:06:19.000Z,Epoch AI,2026-06-05 00:45:56+00:00
B200 at Meta Prometheus on 2026-05-18T00:00:00.000Z,Meta Prometheus,2026-05-18,B200,206902,Estimate,Estimate,Meta #confident,Meta #confident,"Adds Meta tent buildings 11-15. Same model, updated total power.",Epoch AI,2026-04-02T19:46:43.000Z,Epoch AI,2026-05-16 10:34:42+00:00
Trainium2 at Amazon Ridgeland on 2026-05-19T00:00:00.000Z,Amazon Ridgeland,2026-05-19,Trainium2,261244,Estimate,Estimate,Amazon #confident,Amazon #confident,"Chip type assumed from Project Rainier announcement (Trainium2). 4 buildings (type 1, 26 generators each) operational. Count = buildings × chips per building, where chips per building = generator-based power / (PUE × IT overhead × chip TDP).",Epoch AI,2026-04-02T19:43:20.000Z,Epoch AI,2026-05-16 10:28:22+00:00
B300 at OpenAI Stargate Abilene on 2026-05-23T00:00:00.000Z,OpenAI Stargate Abilene,2026-05-23,B300,100800,Estimate,Estimate,Oracle #confident,OpenAI #confident,"Building design is the same but the chillers are slightly larger, suggesting the same number of servers but slightly more power per server. This is consistent with B300, as is the timing with B300 chip sales ramping up.",Epoch AI,2026-04-22T20:08:29.000Z,Epoch AI,2026-05-16 10:28:24+00:00
B300 at Meta Cheyenne on 2026-05-25T00:00:00.000Z,Meta Cheyenne,2026-05-25,B300,36255,Estimate,Estimate,Meta #confident,Meta #confident,"Assumed based on chip ownership data, number calculated from estimated IT power",Epoch AI,2026-06-09T22:38:44.000Z,Epoch AI,2026-06-09 22:38:44+00:00
B200 at Meta Prometheus on 2026-05-28T00:00:00.000Z,Meta Prometheus,2026-05-28,B200,232270,Estimate,Estimate,Meta #confident,Meta #confident,"Adds Building 17 (Vantage). Same model, updated total power.",Epoch AI,2026-04-02T19:46:43.000Z,Epoch AI,2026-05-16 10:34:43+00:00
TPU v7 at Fluidstack Lake Mariner on 2026-05-31T00:00:00.000Z,Fluidstack Lake Mariner,2026-05-31,TPU v7,25120,Estimate,Estimate,Fluidstack #confident,Anthropic #likely,"[DCD: Google offers TPUs to AI cloud providers](https://www.datacenterdynamics.com/en/news/google-offers-its-tpus-to-ai-cloud-providers-report/), [Anthropic $50B infrastructure investment](https://www.anthropic.com/news/anthropic-invests-50-billion-in-american-ai-infrastructure)",Epoch AI,2026-03-05T20:57:19.000Z,Epoch AI,2026-06-05 21:36:24+00:00
TPU v6e at Fluidstack Lake Mariner on 2026-05-31T00:00:00.000Z,Fluidstack Lake Mariner,2026-05-31,TPU v6e,0,Estimate,Estimate,Fluidstack #confident,Anthropic #likely,"[DCD: Google offers TPUs to AI cloud providers](https://www.datacenterdynamics.com/en/news/google-offers-its-tpus-to-ai-cloud-providers-report/), [Anthropic $50B infrastructure investment](https://www.anthropic.com/news/anthropic-invests-50-billion-in-american-ai-infrastructure)",Epoch AI,2026-03-05T20:57:19.000Z,Epoch AI,2026-06-05 21:36:24+00:00
H200 at Colossus 1 on 2026-06-01T00:00:00.000Z,Colossus 1,2026-06-01,H200,50000,Company disclosure,Company disclosure,SpaceXAI #confident,Anthropic #confident,"https://www.anthropic.com/news/higher-limits-spacex. As of June, because they said ""within the month [of May]""",Epoch AI,2026-05-07T22:24:52.000Z,Epoch AI,2026-05-16 10:30:42+00:00
B200 at Colossus 1 on 2026-06-01T00:00:00.000Z,Colossus 1,2026-06-01,B200,30000,Company disclosure,Company disclosure,SpaceXAI #confident,Anthropic #confident,"https://www.anthropic.com/news/higher-limits-spacex. As of June, because they said ""within the month [of May]""",Epoch AI,2026-05-07T22:24:52.000Z,Epoch AI,2026-05-16 10:30:43+00:00
H100 at Colossus 1 on 2026-06-01T00:00:00.000Z,Colossus 1,2026-06-01,H100,150000,Company disclosure,Company disclosure,SpaceXAI #confident,Anthropic #confident,"https://www.anthropic.com/news/higher-limits-spacex. As of June, because they said ""within the month [of May]""",Epoch AI,2026-05-07T22:24:52.000Z,Epoch AI,2026-05-16 10:30:41+00:00
B200 at Microsoft Fairwater Atlanta on 2026-06-14T00:00:00.000Z,Microsoft Fairwater Atlanta,2026-06-14,B200,304279,Estimate,Estimate,Microsoft #confident,Microsoft #confident,All 4 buildings. Same model using total facility power.,Epoch AI,2026-06-09T16:57:37.000Z,Epoch AI,2026-06-09 16:57:37+00:00
B300 at Goodnight on 2026-06-15T00:00:00.000Z,Goodnight,2026-06-15,B300,49282,Estimate,Estimate,Google #speculative,Google #speculative,GB300 NVL72 assumed from similar design to Stargate Abilene and timing. Count = 103 MW IT power (from tax abatement agreement) / (IT overhead × server power) × 72.,Epoch AI,2026-04-02T19:45:39.000Z,Epoch AI,2026-06-10 17:10:03+00:00
B300 at Meta Gallatin on 2026-06-15T00:00:00.000Z,Meta Gallatin,2026-06-15,B300,39453,Estimate,Estimate,Meta #confident,Meta #confident,GB300 NVL72 assumed from commissioning timeline and estimates from https://epoch.ai/data/ai-chip-owners . Count = Total IT power / IT overhead / server power x 72.,Epoch AI,2026-06-16T21:05:04.000Z,Epoch AI,2026-06-16 21:05:04+00:00
B300 at Meta Montgomery on 2026-06-18T00:00:00.000Z,Meta Montgomery,2026-06-18,B300,69074,Estimate,Estimate,Meta #confident,Meta #confident,"Assumed based on chip ownership data, number calculated from estimated IT power",Epoch AI,2026-06-11T20:49:34.000Z,Epoch AI,2026-06-11 20:49:34+00:00
B300 at OpenAI Stargate Abilene on 2026-06-22T00:00:00.000Z,OpenAI Stargate Abilene,2026-06-22,B300,302400,Estimate,Estimate,Oracle #confident,OpenAI #confident,"Buildings 5-8 come online, bringing total B300 buildings to 6. Same building design as B200 buildings but slightly larger chillers suggest same server count with higher power per server, consistent with B300 and timing of B300 chip sales ramp.",Epoch AI,2026-04-22T19:30:27.000Z,Epoch AI,2026-05-16 10:28:25+00:00
B200 at Coreweave Helios on 2026-06-30T00:00:00.000Z,Coreweave Helios,2026-06-30,B200,63151,Estimate,Estimate,CoreWeave #confident,CoreWeave #confident,"GB200 NVL72 assumed from rack density specs (130-140 kW, matching NVL72). Phase I (1 building, 200 MW). Count = reported facility power / PUE / IT overhead / server power × 72.",Epoch AI,2026-04-02T19:45:37.000Z,Epoch AI,2026-05-16 10:31:50+00:00
B200 at CoreWeave Denton TX on 2026-06-30T00:00:00.000Z,CoreWeave Denton TX,2026-06-30,B200,100000,Estimate,Estimate,CoreWeave #confident,OpenAI #likely,"This is the estimated final CoreWeave AI load. Since it's disclosed to be >50,000 GPUs at ~130 MW, a safe estimate can be 100,000 GPUs at the full 260 MW. (MarketBeat)",Epoch AI,2026-05-14T15:54:00.000Z,Epoch AI,2026-05-16 10:34:07+00:00
B300 at  on 2026-07-01T00:00:00.000Z,,2026-07-01,B300,220000,Company disclosure,Company disclosure,SpaceXAI #confident,SpaceXAI #confident,"[Company S-1 filing, page 76](https://www.sec.gov/Archives/edgar/data/1181412/000162828026036936/spaceexplorationtechnologi.htm)",Epoch AI,2026-05-22T01:50:51.000Z,Siyuan Du,2026-05-27 13:45:10+00:00
B300 at  on 2026-07-01T00:00:00.000Z,,2026-07-01,B300,220000,Company disclosure,Company disclosure,SpaceXAI #confident,SpaceXAI #confident,"[Company S-1 filing, page 76](https://www.sec.gov/Archives/edgar/data/1181412/000162828026036936/spaceexplorationtechnologi.htm)",Epoch AI,2026-05-22T01:52:39.000Z,Siyuan Du,2026-05-27 13:45:10+00:00
B300 at Colossus 2 on 2026-07-01T00:00:00.000Z,Colossus 2,2026-07-01,B300,220000,Company disclosure,Company disclosure,SpaceXAI #confident,SpaceXAI #confident,"[Company S-1 filing, page 76](https://www.sec.gov/Archives/edgar/data/1181412/000162828026036936/spaceexplorationtechnologi.htm)",Epoch AI,2026-05-24T17:53:06.000Z,Epoch AI,2026-05-24 17:53:06+00:00
B300 at Meta Aiken on 2026-07-15T00:00:00.000Z,Meta Aiken,2026-07-15,B300,64098,Estimate,Meta #confident,Meta #confident,"Assumed based on chip ownership data, number calculated from estimated IT power",,Epoch AI,2026-06-12T17:04:02.000Z,Axel Campos,2026-06-15 18:30:53+00:00
B300 at Meta Kuna on 2026-08-01T00:00:00.000Z,Meta Kuna,2026-08-01,B300,68571,Estimate,Estimate,Meta #confident,Meta #confident,"Presumably the same as Meta Temple, and the most sold chip in Q4 2025 by a small margin.",Epoch AI,2026-04-14T19:05:57.000Z,Epoch AI,2026-05-16 10:34:09+00:00
B300 at Goodnight on 2026-08-15T00:00:00.000Z,Goodnight,2026-08-15,B300,98565,Estimate,Estimate,Google #speculative,Google #speculative,"2 buildings operational. Same model, doubled.",Epoch AI,2026-04-02T19:45:40.000Z,Epoch AI,2026-06-10 17:10:03+00:00
B200 at Meta Prometheus on 2026-08-26T00:00:00.000Z,Meta Prometheus,2026-08-26,B200,257637,Estimate,Estimate,Meta #confident,Meta #confident,"Adds Building 18 (Vantage). Same model, updated total power.",Epoch AI,2026-04-02T19:46:43.000Z,Epoch AI,2026-05-16 10:34:43+00:00
B300 at Meta Temple on 2026-09-30T00:00:00.000Z,Meta Temple,2026-09-30,B300,80139,Estimate,Estimate,Meta #confident,Meta #confident,"Adds Building 3. Same model, adding Building 3 IT capacity (estimated from tent design power, ~40 MW total / PUE).",Epoch AI,2026-04-02T19:45:38.000Z,Epoch AI,2026-06-11 20:53:36+00:00
B200 at Meta Prometheus on 2026-10-01T00:00:00.000Z,Meta Prometheus,2026-10-01,B200,314261,Estimate,Estimate,Meta #confident,Meta #confident,"Adds Buildings 19-24 (Meta tents), powered by Socrates South and North gas plants (each 200 MW). Same model.",Epoch AI,2026-04-02T19:46:44.000Z,Epoch AI,2026-05-16 10:34:43+00:00
B300 at DayOne Nusajaya on 2026-10-02T00:00:00.000Z,DayOne Nusajaya,2026-10-02,B300,217467,Estimate,Estimate,"ByteDance #likely, Oracle #likely",,"B300 based on the timing of total chip sales in the prior quarter (https://epoch.ai/data/ai-chip-sales), plus DayOne's partnership with NVIDIA (they mention using GB200 here: https://dayonedc.com/our-solutions). ByteDance likely: https://asiatimes.com/2026/03/nvidia-chip-curbs-turn-singapore-into-ai-hub-for-china/, https://english.cw.com.tw/article/article.action?id=4385. Oracle likely: https://newsletter.semianalysis.com/p/how-oracle-is-winning-the-ai-compute-market",Epoch AI,2026-05-08T22:23:32.000Z,Epoch AI,2026-06-12 18:43:03+00:00
Trainium2 at Anthropic-Amazon New Carlisle on 2026-10-19T00:00:00.000Z,Anthropic-Amazon New Carlisle,2026-10-19,Trainium2,1040000,Company disclosure,Estimate,Amazon #confident,Anthropic #confident,All 18 buildings operational. Same model.,Epoch AI,2026-06-16T18:08:09.000Z,Epoch AI,2026-06-16 18:08:09+00:00
TPU v6e at Fluidstack Lake Mariner on 2026-10-31T00:00:00.000Z,Fluidstack Lake Mariner,2026-10-31,TPU v6e,208569,Estimate,Estimate,Fluidstack #confident,Anthropic #likely,"[DCD: Google offers TPUs to AI cloud providers](https://www.datacenterdynamics.com/en/news/google-offers-its-tpus-to-ai-cloud-providers-report/), [Anthropic $50B infrastructure investment](https://www.anthropic.com/news/anthropic-invests-50-billion-in-american-ai-infrastructure)",Epoch AI,2026-03-05T20:57:19.000Z,Epoch AI,2026-06-05 21:36:24+00:00
TPU v7 at Fluidstack Lake Mariner on 2026-10-31T00:00:00.000Z,Fluidstack Lake Mariner,2026-10-31,TPU v7,43039,Estimate,Estimate,Fluidstack #confident,Anthropic #likely,"[DCD: Google offers TPUs to AI cloud providers](https://www.datacenterdynamics.com/en/news/google-offers-its-tpus-to-ai-cloud-providers-report/), [Anthropic $50B infrastructure investment](https://www.anthropic.com/news/anthropic-invests-50-billion-in-american-ai-infrastructure)",Epoch AI,2026-03-05T20:57:20.000Z,Epoch AI,2026-06-05 21:36:25+00:00
R200 at QTS Cedar Rapids on 2026-11-15T00:00:00.000Z,QTS Cedar Rapids,2026-11-15,R200,111585,Estimate,Estimate,,,VR200 NVL72 assumed based on expected availability at time of operation (late 2026). Buildings 1-3. Count from air-cooled chiller fan count model for IT capacity / (IT overhead × server power) × 72.,Epoch AI,2026-04-02T19:46:48.000Z,Epoch AI,2026-04-02 19:46:48+00:00
B200 at G42-Khazna Ajman on 2026-12-01T00:00:00.000Z,G42-Khazna Ajman,2026-12-01,B200,47847,Estimate,Estimate,G42 #confident,G42 #confident,GB200 NVL72 assumed. Count = chips per data hall × 20 data halls. Chips per data hall derived from 5 MW IT per hall / (IT overhead × 8 containment modules per hall power budget / server power × 72).,Epoch AI,2026-04-02T19:43:24.000Z,Epoch AI,2026-05-16 10:29:34+00:00
